FQDN Comments                             date                comment
=============                             ==========          =======
outbound1.letsencrypt.org                 2022-06-28          active
outbound1a.letsencrypt.org                2022-08-28          active
outbound1b.letsencrypt.org                2022-08-28          active
outbound1c.letsencrypt.org                2022-08-28          active
outbound1d.letsencrypt.org                2022-08-28          active
outbound1e.letsencrypt.org                2022-08-28          active
outbound1f.letsencrypt.org                2022-08-28          active
outbound1g.letsencrypt.org                2022-08-28          active
outbound1h.letsencrypt.org                2022-08-28          active
outbound1i.letsencrypt.org                2022-08-28          active
outbound1j.letsencrypt.org                2022-08-28          active
outbound2.letsencrypt.org                 2022-06-28          active
outbound2a.letsencrypt.org                2022-08-28          active
outbound2b.letsencrypt.org                2022-08-28          active
outbound2c.letsencrypt.org                2022-08-28          active
outbound2d.letsencrypt.org                2022-08-28          active
outbound2e.letsencrypt.org                2022-08-28          active
outbound2f.letsencrypt.org                2022-08-28          active
outbound2g.letsencrypt.org                2022-08-28          active
outbound2h.letsencrypt.org                2022-08-28          active
outbound2i.letsencrypt.org                2022-08-28          active
outbound2j.letsencrypt.org                2022-08-28          active
acme-v02.api.letsencrypt.org                                  for tests, non-productive?
acme-staging-v02.api.letsencrypt.org                          for tests, non-productive?

IP List Comments                          date                comment ( ? means old entry, not shure if active yet)
================                          ==========          =======
13.59.153.150                             2022-08-28          ec2-13-59-153-150.us-east-2.compute.amazonaws.com					
18.116.86.117                             2022-08-28          ec2-18-116-86-117.us-east-2.compute.amazonaws.com					
18.118.160.177	                          2022-08-28          ec2-18-118-160-177.us-east-2.compute.amazonaws.com										
18.156.79.179                             ?                   ?				
18.159.141.56                             2022-08-28          ec2-18-159-141-56.eu-central-1.compute.amazonaws.com					
18.159.196.172                            2022-08-28          ec2-18-159-196-172.eu-central-1.compute.amazonaws.com								
18.184.114.154                            2022-08-28          ec2-18-184-114-154.eu-central-1.compute.amazonaws.com								
18.184.220.107                            2022-08-28          ec2-18-184-220-107.eu-central-1.compute.amazonaws.com					
18.184.29.122                             2022-08-28          ec2-18-184-29-122.eu-central-1.compute.amazonaws.com								
18.185.102.79                             2022-08-28          ec2-18-185-102-79.eu-central-1.compute.amazonaws.com					
18.185.104.214                            2022-08-28          ec2-18-185-104-214.eu-central-1.compute.amazonaws.com					
18.185.121.82                             2022-08-28          ec2-18-185-121-82.eu-central-1.compute.amazonaws.com					
18.188.88.18                              2022-08-28          ec2-18-188-88-18.us-east-2.compute.amazonaws.com					
18.192.23.35                              2022-08-28          ec2-18-192-23-35.eu-central-1.compute.amazonaws.com					
18.192.36.99                              2022-08-28          ec2-18-192-36-99.eu-central-1.compute.amazonaws.com								
18.192.55.112                             2022-08-28          ec2-18-192-55-112.eu-central-1.compute.amazonaws.com									
18.192.99.12                              ?                   ?									
18.194.58.132                             ?                   ?				
18.194.90.174                             2022-08-28          ec2-18-194-90-174.eu-central-1.compute.amazonaws.com										
18.196.102.134                            ?                   ?				
18.196.96.172                             2022-08-28          ec2-18-196-96-172.eu-central-1.compute.amazonaws.com												
18.197.129.178                            ?                   ?				
18.197.70.37                              2022-08-28          ec2-18-197-70-37.eu-central-1.compute.amazonaws.com					
18.197.97.115                             2022-08-28          ec2-18-197-97-115.eu-central-1.compute.amazonaws.com								
18.216.77.148                             2022-08-28          ec2-18-216-77-148.us-east-2.compute.amazonaws.com					
18.217.125.26                             2022-08-28          ec2-18-217-125-26.us-east-2.compute.amazonaws.com					
18.219.221.239                            2022-08-28          ec2-18-219-221-239.us-east-2.compute.amazonaws.com					
18.220.192.183                            2022-08-28          ec2-18-220-192-183.us-east-2.compute.amazonaws.com					
18.220.25.215                             2022-08-28          ec2-18-220-25-215.us-east-2.compute.amazonaws.com					
18.222.105.102                            2022-08-28          ec2-18-222-105-102.us-east-2.compute.amazonaws.com								
18.222.134.135                            2022-08-28          added, active							
18.222.145.89                             ?                   ?				
18.222.187.65                             2022-08-28          ec2-18-222-187-65.us-east-2.compute.amazonaws.com								
18.224.20.83                              ?                   ?				
18.224.37.69                              2022-08-28          ec2-18-224-37-69.us-east-2.compute.amazonaws.com					
18.225.32.5                               2022-08-28          ec2-18-225-32-50.us-east-2.compute.amazonaws.com					
18.236.188.173                            2022-08-28          ec2-18-236-188-173.us-west-2.compute.amazonaws.com										
18.236.228.243                            ?                   ?  				
3.120.130.29                              2022-08-28          ec2-3-120-130-29.eu-central-1.compute.amazonaws.com					
3.121.212.136                             2022-08-28          ec2-3-121-212-136.eu-central-1.compute.amazonaws.com					
3.122.178.200                             2022-08-28          ec2-3-122-178-200.eu-central-1.compute.amazonaws.com									
3.123.37.118                              2022-08-28          ec2-3-123-37-118.eu-central-1.compute.amazonaws.com	
3.125.19.113                              2022-08-28          added, active
3.128.26.105                              2022-08-28          ec2-3-128-26-105.us-east-2.compute.amazonaws.com								
3.131.36.184                              2022-08-28          ec2-3-131-36-184.us-east-2.compute.amazonaws.com					
3.133.99.173                              2022-08-28          ec2-3-133-99-173.us-east-2.compute.amazonaws.com								
3.135.201.96                              2022-08-28          ec2-3-135-201-96.us-east-2.compute.amazonaws.com											
